distancia,tipo_envio,restriccion,antiguedad_dias,prioridad
29.63,normal,valioso,3.2,media
6.94,express,ninguna,4.6,alta
87.23,express,ninguna,4.62,alta
39.19,normal,ninguna,2.68,media
93.87,express,ninguna,4.28,alta
3.84,normal,ninguna,4.55,media
60.86,normal,ninguna,2.53,media
11.16,express,valioso,3.45,alta
85.73,normal,valioso,3.79,media
34.05,express,valioso,4.56,alta
94.58,express,valioso,4.41,alta
15.13,normal,valioso,3.15,media
83.98,normal,valioso,3.69,media
62.9,normal,ninguna,1.94,media
74.48,normal,ninguna,0.31,media
3.08,normal,ninguna,3.19,media
43.46,express,ninguna,14.35,alta
3.02,normal,ninguna,3.28,media
66.46,express,ninguna,3.99,alta
58.32,normal,valioso,3.64,media
5.54,normal,ninguna,13.74,alta
36.56,normal,ninguna,10.65,alta
2.71,express,ninguna,4.59,alta
75.67,express,ninguna,3.95,alta
73.12,express,valioso,4.02,alta
58.63,express,ninguna,11.76,alta
86.42,normal,ninguna,2.29,media
39.08,express,valioso,4.25,alta
90.86,express,ninguna,3.65,alta
61.88,express,ninguna,3.42,alta
25.36,normal,valioso,4.02,media
33.37,normal,valioso,3.37,media
4.41,normal,ninguna,3.57,media
55.06,express,ninguna,4.75,alta
60.52,express,valioso,4.14,alta
3.5,express,ninguna,3.19,alta
5.57,express,valioso,3.91,alta
3.57,express,ninguna,3.59,alta
54.94,express,valioso,3.5,alta
50.74,express,ninguna,6.63,alta
76.28,express,valioso,4.51,alta
3.03,express,ninguna,3.84,alta
44.53,normal,ninguna,1.49,baja
19.87,express,valioso,3.91,alta
96.73,express,ninguna,7.47,alta
1.51,express,ninguna,3.33,alta
83.6,express,ninguna,13.73,alta
2.54,normal,ninguna,4.22,media
8.99,normal,ninguna,2.72,media
2.05,normal,ninguna,3.31,media
1.28,express,valioso,3.16,alta
2.84,normal,ninguna,4.21,media
3.74,express,ninguna,4.74,alta
59.58,express,ninguna,3.46,alta
15.17,normal,ninguna,2.04,baja
13.5,normal,ninguna,1.27,baja
5.98,normal,ninguna,14.89,alta
15.42,normal,valioso,4.56,media
31.04,normal,ninguna,2.67,media
86.14,normal,valioso,4.61,media
58.24,normal,valioso,3.52,media
1.63,normal,ninguna,3.16,media
92.12,express,ninguna,4.67,alta
29.09,normal,ninguna,1.62,baja
4.61,express,ninguna,4.61,alta
13.45,normal,valioso,3.25,media
1.08,normal,ninguna,4.78,media
43.8,normal,valioso,3.73,media
30.67,express,ninguna,10.17,alta
5.38,express,ninguna,3.85,alta
34.54,express,valioso,4.74,alta
3.23,normal,ninguna,3.22,media
2.81,normal,ninguna,3.28,media
16.22,express,valioso,4.85,alta
67.96,express,ninguna,11.67,alta
4.28,normal,ninguna,3.5,media
92.54,express,ninguna,4.0,alta
23.11,express,ninguna,11.64,alta
89.33,express,valioso,3.97,alta
86.19,express,ninguna,3.38,alta
72.85,normal,ninguna,2.2,media
87.67,normal,ninguna,2.23,media
55.34,normal,valioso,3.69,media
13.36,express,ninguna,8.11,alta
39.1,express,valioso,4.02,alta
81.15,normal,ninguna,6.64,alta
59.66,normal,valioso,4.36,media
98.05,express,ninguna,3.26,alta
93.34,express,ninguna,13.7,alta
75.9,normal,valioso,4.2,media
92.74,express,ninguna,3.57,alta
26.34,express,valioso,4.7,alta
41.6,normal,ninguna,1.09,baja
15.47,normal,ninguna,9.73,alta
1.6,normal,ninguna,3.16,media
4.81,normal,ninguna,4.33,media
32.51,normal,ninguna,10.47,alta
1.12,normal,ninguna,3.42,media
4.92,express,ninguna,3.71,alta
64.01,express,valioso,4.6,alta
3.85,normal,ninguna,3.41,media
50.25,express,ninguna,4.57,alta
99.08,express,ninguna,13.07,alta
2.45,normal,ninguna,3.5,media
99.98,normal,ninguna,0.2,media
12.22,express,ninguna,4.03,alta
3.03,normal,ninguna,3.34,media
88.05,express,ninguna,8.15,alta
35.18,normal,valioso,4.84,media
14.77,express,ninguna,3.75,alta
13.09,normal,ninguna,9.26,alta
80.64,express,ninguna,4.03,alta
56.72,express,ninguna,4.01,alta
47.79,normal,valioso,3.29,media
6.18,express,ninguna,3.13,alta
48.51,normal,ninguna,14.77,alta
54.01,normal,ninguna,0.75,media
79.23,normal,ninguna,2.5,media
2.44,express,ninguna,3.87,alta
5.29,express,ninguna,4.02,alta
54.52,normal,valioso,3.83,media
99.78,express,ninguna,14.74,alta
54.79,express,ninguna,4.26,alta
12.85,express,ninguna,4.14,alta
53.84,normal,ninguna,2.52,media
11.87,express,ninguna,3.4,alta
16.98,express,ninguna,13.13,alta
13.18,normal,ninguna,1.6,baja
54.95,normal,ninguna,5.17,alta
69.64,normal,valioso,3.98,media
90.82,express,ninguna,3.8,alta
39.33,express,ninguna,6.35,alta
1.21,normal,ninguna,3.93,media
75.74,express,valioso,4.23,alta
62.03,normal,ninguna,1.11,media
86.99,normal,valioso,3.98,media
48.49,normal,ninguna,2.79,media
7.64,normal,valioso,3.54,media
54.15,express,ninguna,3.69,alta
48.12,express,ninguna,13.02,alta
18.74,normal,ninguna,9.71,alta
65.16,express,ninguna,4.31,alta
5.82,normal,valioso,4.17,media
7.0,express,ninguna,3.49,alta
3.5,normal,ninguna,4.0,media
2.8,normal,ninguna,4.79,media
7.48,express,valioso,4.62,alta
96.46,normal,valioso,3.71,media
10.92,express,ninguna,3.44,alta
10.92,express,ninguna,4.38,alta
78.97,normal,valioso,4.85,media
2.67,normal,ninguna,4.34,media
40.27,normal,valioso,4.57,media
97.9,express,ninguna,4.19,alta
87.11,express,ninguna,3.13,alta
96.49,express,valioso,4.66,alta
24.1,express,valioso,4.05,alta
63.39,normal,valioso,3.32,media
10.47,normal,ninguna,0.41,baja
7.11,normal,ninguna,0.58,baja
4.75,normal,ninguna,4.14,media
74.69,express,ninguna,4.7,alta
11.41,express,ninguna,12.02,alta
8.48,express,ninguna,4.18,alta
2.62,normal,ninguna,3.49,media
37.83,express,ninguna,14.9,alta
21.41,normal,ninguna,8.28,alta
2.84,normal,ninguna,4.56,media
13.68,express,ninguna,4.58,alta
53.06,express,ninguna,4.07,alta
1.22,normal,ninguna,4.18,media
54.75,express,ninguna,4.4,alta
68.7,express,ninguna,4.7,alta
11.05,normal,valioso,4.53,media
2.6,express,ninguna,3.85,alta
95.87,normal,valioso,3.75,media
48.43,express,ninguna,13.63,alta
7.09,express,ninguna,3.4,alta
81.81,express,ninguna,8.87,alta
3.84,normal,ninguna,3.9,media
55.98,normal,ninguna,8.58,alta
1.54,normal,ninguna,3.88,media
6.25,express,ninguna,12.08,alta
8.54,express,ninguna,3.26,alta
2.29,express,valioso,4.51,alta
1.17,express,valioso,4.78,alta
54.44,normal,ninguna,2.89,media
57.32,normal,valioso,4.1,media
3.74,normal,ninguna,3.47,media
30.95,normal,valioso,4.5,media
35.32,normal,valioso,4.44,media
13.37,express,valioso,3.38,alta
7.82,express,ninguna,4.25,alta
51.33,normal,ninguna,0.74,media
64.46,express,ninguna,4.5,alta
60.07,normal,valioso,3.81,media
54.38,normal,valioso,4.27,media
13.76,normal,valioso,4.72,media
67.08,express,ninguna,3.97,alta
3.51,express,ninguna,4.85,alta
89.28,express,ninguna,3.12,alta
3.25,normal,ninguna,3.7,media
3.7,normal,ninguna,4.56,media
12.58,express,ninguna,3.9,alta
59.17,normal,ninguna,1.05,media
18.9,normal,ninguna,13.45,alta
46.41,normal,ninguna,0.34,baja
59.91,express,ninguna,6.94,alta
20.38,express,valioso,3.68,alta
68.94,express,valioso,3.97,alta
5.41,express,ninguna,3.96,alta
22.85,express,valioso,3.26,alta
4.67,express,ninguna,3.18,alta
72.58,normal,ninguna,0.79,media
3.51,normal,ninguna,4.21,media
61.13,express,ninguna,13.15,alta
29.85,express,valioso,3.77,alta
50.44,express,valioso,4.02,alta
88.91,normal,ninguna,1.9,media
89.58,normal,ninguna,2.06,media
22.29,express,valioso,3.83,alta
21.26,normal,ninguna,6.76,alta
88.94,normal,ninguna,2.48,media
3.43,normal,ninguna,3.78,media
3.14,express,ninguna,4.69,alta
66.3,express,valioso,3.44,alta
52.13,normal,ninguna,0.38,media
84.99,normal,ninguna,1.51,media
83.65,express,ninguna,3.4,alta
75.27,express,valioso,3.92,alta
4.44,normal,ninguna,3.87,media
85.5,normal,ninguna,12.89,alta
2.23,normal,ninguna,3.73,media
11.4,express,ninguna,3.86,alta
45.35,express,ninguna,11.69,alta
52.49,normal,ninguna,7.25,alta
1.29,normal,ninguna,4.23,media
79.32,express,valioso,4.88,alta
34.14,express,valioso,4.48,alta
1.72,normal,ninguna,3.29,media
35.34,normal,ninguna,0.46,baja
3.64,normal,ninguna,3.35,media
78.17,normal,valioso,4.36,media
1.74,normal,ninguna,3.29,media
15.92,express,ninguna,11.89,alta
89.13,normal,ninguna,2.51,media
47.64,express,valioso,3.49,alta
90.2,express,ninguna,3.33,alta
3.11,normal,ninguna,4.46,media
87.86,normal,ninguna,0.45,media
1.78,express,ninguna,4.38,alta
2.46,normal,ninguna,4.9,media
21.37,normal,ninguna,0.12,baja
59.47,normal,ninguna,1.91,media
1.85,normal,ninguna,4.35,media
54.96,normal,ninguna,1.13,media
2.76,normal,ninguna,4.86,media
3.0,express,ninguna,7.74,alta
57.45,express,ninguna,3.81,alta
7.12,express,ninguna,4.18,alta
13.5,express,ninguna,4.68,alta
1.19,normal,ninguna,3.44,media
83.15,express,ninguna,4.09,alta
7.59,express,ninguna,3.5,alta
19.7,express,ninguna,9.49,alta
20.35,normal,valioso,4.74,media
74.78,express,ninguna,4.52,alta
92.41,normal,ninguna,13.43,alta
64.4,express,valioso,4.59,alta
4.8,express,ninguna,3.19,alta
5.92,normal,valioso,4.31,media
5.85,normal,ninguna,1.08,baja
7.97,express,valioso,4.62,alta
28.02,normal,ninguna,13.09,alta
73.01,normal,ninguna,7.3,alta
25.12,normal,ninguna,2.37,baja
53.41,express,ninguna,4.88,alta
6.1,express,ninguna,3.23,alta
66.07,express,ninguna,3.13,alta
94.31,express,ninguna,4.61,alta
3.85,normal,ninguna,3.95,media
44.91,normal,valioso,3.7,media
2.05,normal,ninguna,3.56,media
70.32,express,ninguna,5.87,alta
60.08,express,valioso,3.72,alta
1.45,express,valioso,3.58,alta
60.43,normal,valioso,4.24,media
36.0,normal,ninguna,2.28,baja
95.11,normal,ninguna,1.0,media
56.85,express,valioso,3.75,alta
32.77,express,ninguna,14.69,alta
21.94,normal,valioso,3.8,media
22.24,normal,valioso,3.83,media
8.56,express,ninguna,3.58,alta
96.94,express,ninguna,3.13,alta
19.78,normal,valioso,4.19,media
44.93,express,valioso,4.27,alta
11.84,express,ninguna,4.11,alta
3.28,express,ninguna,3.27,alta
98.03,express,ninguna,4.28,alta
72.02,express,ninguna,10.33,alta
61.36,express,ninguna,9.84,alta
12.9,express,ninguna,4.5,alta
3.41,normal,ninguna,4.86,media
57.46,express,ninguna,4.34,alta
82.48,express,ninguna,4.54,alta
12.63,normal,valioso,3.76,media
2.1,normal,ninguna,4.15,media
74.94,normal,valioso,3.87,media
14.8,express,ninguna,4.78,alta
13.97,express,valioso,4.57,alta
40.66,express,valioso,4.37,alta
15.87,express,valioso,4.28,alta
84.91,normal,ninguna,14.46,alta
25.98,express,ninguna,6.86,alta
24.35,express,valioso,3.67,alta
63.36,express,ninguna,11.36,alta
94.05,normal,valioso,4.07,media
67.66,normal,ninguna,7.91,alta
82.5,normal,ninguna,0.5,media
92.65,express,ninguna,4.56,alta
42.21,normal,ninguna,0.47,baja
10.81,normal,ninguna,1.85,baja
4.37,normal,ninguna,3.61,media
79.69,normal,ninguna,2.02,media
1.78,express,ninguna,3.16,alta
91.04,express,ninguna,3.44,alta
98.68,normal,valioso,3.58,media
78.22,normal,valioso,4.01,media
88.41,express,valioso,3.67,alta
1.12,normal,ninguna,4.61,media
1.73,normal,ninguna,4.55,media
11.32,normal,ninguna,0.24,baja
87.12,normal,ninguna,12.04,alta
69.19,express,ninguna,12.94,alta
97.59,normal,ninguna,5.87,alta
93.03,express,ninguna,4.31,alta
24.29,express,valioso,4.13,alta
9.22,express,ninguna,3.74,alta
1.92,normal,ninguna,4.74,media
88.34,normal,ninguna,12.82,alta
57.06,express,ninguna,3.77,alta
4.26,express,ninguna,3.31,alta
8.73,express,ninguna,3.32,alta
94.61,express,ninguna,4.52,alta
58.27,normal,ninguna,2.49,media
81.15,normal,valioso,4.43,media
1.56,express,ninguna,3.73,alta
89.91,express,ninguna,4.78,alta
3.97,express,ninguna,3.24,alta
38.23,normal,valioso,3.37,media
75.65,express,ninguna,3.25,alta
66.48,express,ninguna,4.16,alta
47.83,normal,ninguna,0.17,baja
84.47,express,ninguna,3.98,alta
2.94,normal,ninguna,4.22,media
3.97,normal,ninguna,3.97,media
42.23,normal,ninguna,0.66,baja
1.55,express,valioso,4.82,alta
86.61,express,ninguna,4.84,alta
11.03,express,ninguna,3.69,alta
92.26,normal,ninguna,2.03,media
55.15,normal,ninguna,0.99,media
10.71,express,ninguna,4.75,alta
30.04,express,ninguna,7.15,alta
47.85,normal,ninguna,5.84,alta
46.38,normal,ninguna,7.68,alta
14.55,normal,valioso,4.08,media
13.47,express,ninguna,4.57,alta
35.86,express,ninguna,9.68,alta
28.87,normal,valioso,4.5,media
2.23,normal,ninguna,3.51,media
18.73,express,valioso,3.16,alta
87.54,normal,valioso,4.23,media
11.92,express,ninguna,4.76,alta
1.24,normal,ninguna,4.88,media
49.34,express,valioso,4.07,alta
81.35,express,ninguna,3.4,alta
97.41,express,valioso,4.66,alta
71.63,normal,valioso,3.18,media
10.81,normal,valioso,3.33,media
76.92,express,ninguna,3.95,alta
2.52,normal,ninguna,4.21,media
90.34,normal,valioso,3.14,media
96.16,normal,ninguna,2.72,media
86.87,express,ninguna,4.84,alta
1.47,express,ninguna,4.53,alta
88.84,express,ninguna,3.61,alta
10.1,normal,valioso,4.6,media
1.39,express,ninguna,14.64,alta
66.92,express,ninguna,3.79,alta
83.9,express,valioso,3.52,alta
29.7,normal,valioso,3.54,media
2.32,express,ninguna,4.8,alta
50.8,express,ninguna,3.71,alta
57.68,express,ninguna,4.07,alta
4.18,normal,ninguna,3.9,media
6.67,normal,valioso,4.48,media
1.14,express,ninguna,3.12,alta
3.34,express,ninguna,4.08,alta
10.57,express,ninguna,4.07,alta
63.1,express,ninguna,3.78,alta
99.44,express,ninguna,3.43,alta
5.87,express,ninguna,3.66,alta
2.18,normal,ninguna,3.38,media
11.66,express,ninguna,3.86,alta
2.21,normal,ninguna,3.44,media
9.61,express,ninguna,3.96,alta
10.82,express,ninguna,3.23,alta
72.9,express,ninguna,4.48,alta
66.72,normal,valioso,4.52,media
86.94,normal,ninguna,7.03,alta
32.93,normal,valioso,3.54,media
53.87,normal,ninguna,2.03,media
51.33,express,valioso,3.64,alta
98.69,express,valioso,4.89,alta
1.96,normal,ninguna,4.47,media
63.94,express,ninguna,8.28,alta
4.48,express,ninguna,9.87,alta
7.73,express,ninguna,11.08,alta
73.35,normal,ninguna,9.78,alta
2.13,normal,ninguna,3.5,media
70.4,express,ninguna,4.66,alta
1.92,express,ninguna,3.36,alta
2.03,normal,ninguna,3.84,media
11.81,express,ninguna,4.47,alta
9.79,express,ninguna,10.22,alta
5.17,express,ninguna,4.65,alta
9.36,express,ninguna,4.6,alta
10.97,express,ninguna,3.4,alta
62.4,normal,valioso,3.57,media
3.95,express,ninguna,8.57,alta
2.02,normal,ninguna,3.75,media
10.2,normal,valioso,3.83,media
4.81,normal,ninguna,4.12,media
12.79,express,ninguna,3.41,alta
95.3,normal,ninguna,1.55,media
9.71,normal,valioso,4.46,media
93.57,express,valioso,3.54,alta
21.27,normal,ninguna,1.21,baja
14.48,express,valioso,4.0,alta
33.94,normal,ninguna,0.61,baja
76.09,express,valioso,4.53,alta
87.23,normal,ninguna,0.45,media
61.24,normal,ninguna,10.0,alta
37.44,normal,valioso,4.66,media
61.19,express,valioso,4.71,alta
10.69,express,ninguna,6.46,alta
27.5,normal,valioso,3.9,media
89.64,express,ninguna,3.2,alta
88.79,express,ninguna,3.76,alta
86.36,express,ninguna,14.37,alta
4.85,normal,ninguna,4.8,media
4.4,normal,ninguna,4.06,media
4.87,normal,ninguna,4.24,media
69.29,express,valioso,4.42,alta
21.04,express,ninguna,7.07,alta
9.15,express,ninguna,4.77,alta
71.9,express,ninguna,8.29,alta
48.0,normal,ninguna,2.24,baja
30.81,normal,valioso,4.35,media
50.81,express,ninguna,3.58,alta
90.64,normal,ninguna,11.42,alta
55.71,express,ninguna,11.35,alta
7.75,express,ninguna,4.75,alta
7.86,express,valioso,3.47,alta
60.67,normal,ninguna,2.79,media
1.81,express,ninguna,13.53,alta
2.35,normal,ninguna,3.86,media
56.06,normal,ninguna,1.64,media
2.71,normal,ninguna,4.21,media
3.09,express,ninguna,4.67,alta
2.98,express,ninguna,13.04,alta
1.63,express,valioso,4.87,alta
94.15,express,ninguna,4.66,alta
1.53,express,ninguna,3.9,alta
32.28,express,ninguna,5.69,alta
89.9,express,valioso,3.3,alta
56.6,normal,ninguna,0.22,media
50.54,normal,ninguna,5.71,alta
62.16,express,valioso,4.66,alta
82.3,express,valioso,4.68,alta
58.75,normal,valioso,3.77,media
5.25,express,valioso,4.42,alta
67.13,normal,ninguna,0.85,media
27.83,express,valioso,4.08,alta
83.19,normal,valioso,3.43,media
87.23,express,valioso,4.09,alta
31.17,normal,ninguna,0.25,baja
47.99,normal,valioso,3.95,media
31.74,normal,valioso,3.81,media
12.75,express,ninguna,4.81,alta
84.65,express,ninguna,6.5,alta
88.44,normal,valioso,3.42,media
72.54,express,ninguna,3.74,alta
13.19,normal,valioso,4.76,media
10.61,express,ninguna,4.65,alta
4.21,express,ninguna,4.76,alta
95.47,normal,ninguna,0.4,media
3.41,normal,ninguna,4.63,media
37.23,express,ninguna,10.19,alta
42.2,express,ninguna,13.22,alta
11.58,normal,ninguna,12.94,alta
97.68,normal,valioso,3.53,media
10.47,normal,ninguna,1.51,baja
7.68,normal,ninguna,12.56,alta
1.51,express,valioso,3.25,alta
71.91,normal,valioso,3.91,media
94.41,express,valioso,4.73,alta
7.38,express,ninguna,4.14,alta
1.0,normal,ninguna,4.78,media
8.68,express,ninguna,4.84,alta
87.62,express,ninguna,4.63,alta
7.17,express,ninguna,4.2,alta
10.96,express,ninguna,3.67,alta
2.92,express,ninguna,3.96,alta
52.18,express,ninguna,10.84,alta
61.38,normal,ninguna,2.04,media
49.48,express,valioso,4.24,alta
55.24,express,valioso,3.41,alta
6.21,express,ninguna,3.28,alta
26.53,express,valioso,3.41,alta
92.58,express,ninguna,4.65,alta
75.64,normal,ninguna,2.26,media
73.02,express,ninguna,3.4,alta
4.87,normal,ninguna,4.08,media
44.84,normal,ninguna,1.26,baja
91.84,normal,valioso,3.75,media
44.64,normal,valioso,3.14,media
67.39,normal,valioso,4.78,media
8.22,express,ninguna,4.5,alta
58.97,normal,valioso,3.44,media
57.9,normal,ninguna,0.5,media
84.74,normal,ninguna,11.54,alta
2.02,normal,ninguna,3.78,media
96.48,express,valioso,4.8,alta
72.42,normal,valioso,3.95,media
8.16,express,ninguna,3.59,alta
92.32,express,ninguna,4.45,alta
90.4,express,ninguna,4.39,alta
9.63,normal,ninguna,1.65,baja
99.62,normal,valioso,4.66,media
64.59,express,ninguna,4.12,alta
5.8,express,ninguna,4.9,alta
62.83,express,ninguna,4.76,alta
12.61,normal,valioso,4.73,media
2.95,express,ninguna,3.18,alta
4.8,normal,ninguna,4.25,media
46.62,normal,ninguna,2.25,baja
91.94,normal,ninguna,11.01,alta
13.42,normal,valioso,3.95,media
7.2,express,ninguna,4.82,alta
29.95,normal,valioso,4.81,media
1.42,normal,ninguna,3.34,media
96.76,normal,ninguna,1.79,media
82.5,express,ninguna,8.46,alta
37.46,normal,ninguna,1.61,baja
68.12,express,valioso,4.09,alta
38.15,express,valioso,4.49,alta
1.33,express,ninguna,3.46,alta
83.58,normal,ninguna,1.6,media
4.32,normal,ninguna,4.48,media
35.18,express,valioso,3.28,alta
73.79,normal,ninguna,0.35,media
3.11,normal,ninguna,4.13,media
10.57,express,ninguna,3.98,alta
